Folder name,Clip Name,Image Number,DateTime,Temperature,Humidity,Precipitation,Dew Point,Wind Direction,Wind Speed,Sun Radiation Intensity,Min of sunshine latest 10 min,MSE,MSE_moving_bkgrnd,model,split,month,Activity,Num Annotations,Day_Night,SunPos_azimuth,SunPos_zenith,Hour,Weekday,Weekday_name,Timeslot,Timeslot_name
20210116,clip_27_1536,107,2021-01-16 15:36:00,-6.1,93,0.0,-7.1,111,1.0,0,0.0,0.0082,0.0041,CAE,feb_month,results_jan,0.01615104451775551,11.0,day,235.32182406572628,93.16124629293759,15,5,Saturday,6,Late Afternoon
20210117,clip_0_0000,5,2021-01-17 00:00:00,-6.8,95,0.0,-7.5,109,1.2,0,0.0,0.0029,0.0014,CAE,feb_month,results_jan,0.0009563150815665722,0.0,night,11.656071637873083,143.28170695983442,0,6,Sunday,1,Early Post-Midnight
20210117,clip_51_2354,115,2021-01-17 23:54:00,-2.2,89,0.0,-3.7,154,1.8,0,0.0,0.0022,0.0011,CAE,feb_month,results_jan,0.0050425236113369465,0.0,night,9.161159572934878,143.23852125334892,23,6,Sunday,8,Late Evening
20210117,clip_11_0508,90,2021-01-17 05:08:00,-1.9,87,0.0,-3.9,111,2.4,0,0.0,0.002,0.0009,CAE,feb_month,results_jan,0.0011586131295189261,0.0,night,97.08355533151848,110.25698395434245,5,6,Sunday,2,Late Post-Midnight
20210117,clip_31_1510,115,2021-01-17 15:10:00,-0.6,87,0.0,-2.4,173,0.9,6,0.0,0.0036,0.0017,CAE,feb_month,results_jan,0.0036291673313826323,7.0,day,229.95017407698373,89.64644977450197,15,6,Sunday,6,Late Afternoon
20210118,clip_0_0000,5,2021-01-18 00:00:00,-2.1,89,0.0,-3.6,155,2.1,0,0.0,0.0021,0.001,CAE,feb_month,results_jan,0.001950146397575736,0.0,night,11.490760654790506,143.09146329164335,0,0,Monday,1,Early Post-Midnight
20210118,clip_36_1811,115,2021-01-18 18:11:00,0.9,100,0.1,0.9,206,1.6,0,0.0,0.0111,0.0052,CAE,feb_month,results_jan,0.00666005676612258,2.0,night,266.748329101271,112.40210310824875,18,0,Monday,7,Early Evening
20210118,clip_46_2230,115,2021-01-18 22:30:00,-0.9,100,0.0,-0.9,204,1.8,0,0.0,0.0067,0.004,CAE,feb_month,results_jan,0.005587291903793812,0.0,night,336.6266084987211,141.61289142682236,22,0,Monday,8,Late Evening
20210118,clip_18_0824,65,2021-01-18 08:24:00,-0.8,98,0.0,-1.1,174,2.8,11,0.0,0.0021,0.001,CAE,feb_month,results_jan,0.001638348214328289,3.0,night,136.9397270275794,86.56888417158395,8,0,Monday,3,Early Morning
20210119,clip_0_0000,5,2021-01-19 00:00:00,-0.2,100,0.0,-0.2,193,2.8,0,0.0,0.0036,0.0021,CAE,feb_month,results_jan,0.0009074158733710647,0.0,night,11.330100161855512,142.89428895071185,0,1,Tuesday,1,Early Post-Midnight
20210119,clip_6_0248,115,2021-01-19 02:48:00,0.9,99,0.0,0.8,171,2.6,0,0.0,0.0018,0.0009,CAE,feb_month,results_jan,0.001005072146654129,0.0,night,65.42603879145895,128.62482196817928,2,1,Tuesday,1,Early Post-Midnight
20210119,clip_2_0056,67,2021-01-19 00:56:00,0.5,99,0.0,0.4,178,2.4,0,0.0,0.0031,0.0018,CAE,feb_month,results_jan,0.004428785294294357,0.0,night,31.985640411989152,140.06946219367742,0,1,Tuesday,1,Early Post-Midnight
20210119,clip_1_0028,103,2021-01-19 00:28:00,0.1,100,0.0,0.1,185,2.2,0,0.0,0.0036,0.0021,CAE,feb_month,results_jan,0.0046700541861355305,0.0,night,21.931830592776066,141.79998717032822,0,1,Tuesday,1,Early Post-Midnight
20210120,clip_0_0141,5,2021-01-20 01:41:00,0.1,100,0.0,0.0,102,2.2,0,0.0,0.0012,0.0005,CAE,feb_month,results_jan,0.003431479213759303,0.0,night,46.48565637049114,136.0184954159967,1,2,Wednesday,1,Early Post-Midnight
20210120,clip_38_2308,115,2021-01-20 23:08:00,6.3,89,0.0,4.6,192,6.7,0,0.0,0.0022,0.0012,CAE,feb_month,results_jan,0.004690797999501228,0.0,night,350.86959380460837,142.6047508753202,23,2,Wednesday,8,Late Evening
20210120,clip_16_0909,115,2021-01-20 09:09:00,3.6,100,0.0,3.6,148,3.6,11,0.0,0.0034,0.0016,CAE,feb_month,results_jan,0.0108951972797513,3.0,day,146.54275753653303,82.52893444172402,9,2,Wednesday,4,Late Morning
20210120,clip_23_1225,5,2021-01-20 12:25:00,6.1,100,0.2,6.1,197,4.4,27,0.0,0.0035,0.0019,CAE,feb_month,results_jan,0.010165364481508732,5.0,day,192.86861539145264,77.79961989406031,12,2,Wednesday,5,Early Afternoon
20210121,clip_0_0000,5,2021-01-21 00:00:00,6.0,89,0.0,4.3,180,4.7,0,0.0,0.0023,0.0013,CAE,feb_month,results_jan,0.004187091253697872,0.0,night,11.023234858531282,142.47955225022497,0,3,Thursday,1,Early Post-Midnight
20210121,clip_47_2341,115,2021-01-21 23:41:00,4.1,79,0.0,0.7,190,7.4,0,0.0,0.0062,0.0038,CAE,feb_month,results_jan,0.005266983527690172,0.0,night,3.560756040037006,142.58993250239234,23,3,Thursday,8,Late Evening
20210121,clip_24_1317,5,2021-01-21 13:17:00,5.0,74,0.0,0.7,199,9.6,173,10.0,0.0062,0.0038,CAE,feb_month,results_jan,0.007549742702394724,3.0,day,205.078229373243,79.84359871030492,13,3,Thursday,5,Early Afternoon
20210121,clip_29_1537,5,2021-01-21 15:37:00,4.0,83,0.0,1.5,183,8.4,2,0.0,0.0027,0.0017,CAE,feb_month,results_jan,0.003299072152003646,4.0,day,235.71850607232494,92.17532797318532,15,3,Thursday,6,Late Afternoon
20210122,clip_0_0000,5,2021-01-22 00:00:00,4.4,77,0.0,0.8,191,8.0,0,0.0,0.0061,0.0036,CAE,feb_month,results_jan,0.004625020548701286,0.0,night,10.877239669415133,142.26220051776556,0,4,Friday,1,Early Post-Midnight
20210122,clip_51_2359,59,2021-01-22 23:59:00,3.0,85,0.0,0.7,236,4.6,0,0.0,0.002,0.0011,CAE,feb_month,results_jan,0.0014315469888970256,0.0,night,10.355215514679685,142.06338284235548,23,4,Friday,8,Late Evening
20210122,clip_39_1830,32,2021-01-22 18:30:00,4.3,93,0.2,3.3,237,5.5,0,0.0,0.0102,0.0043,CAE,feb_month,results_jan,0.002122941892594099,5.0,night,271.0337538718487,114.10507680505233,18,4,Friday,7,Early Evening
20210122,clip_18_0808,5,2021-01-22 08:08:00,3.4,90,0.0,1.9,190,4.9,11,0.0,0.0065,0.0034,CAE,feb_month,results_jan,0.0075861248187720776,4.0,night,132.90194537011814,87.38377433275795,8,4,Friday,3,Early Morning
20210123,clip_0_0000,5,2021-01-23 00:00:00,2.9,86,0.0,0.9,230,4.4,0,0.0,0.0019,0.001,CAE,feb_month,results_jan,0.0017553657526150346,0.0,night,10.73631563939,142.03833860757118,0,5,Saturday,1,Early Post-Midnight
20210123,clip_51_2353,115,2021-01-23 23:53:00,1.8,93,0.0,0.8,139,2.6,0,0.0,0.0028,0.0016,CAE,feb_month,results_jan,0.005139115732163191,2.0,night,7.935200552409299,141.96251880767764,23,5,Saturday,8,Late Evening
20210123,clip_14_0607,5,2021-01-23 06:07:00,0.6,93,0.0,-0.5,208,2.4,0,0.0,0.0074,0.0049,CAE,feb_month,results_jan,0.0008228797814808786,0.0,night,107.85876334977729,101.58229781657602,6,5,Saturday,3,Early Morning
20210123,clip_23_1108,107,2021-01-23 11:08:00,2.1,90,0.0,0.7,185,1.9,109,0.0,0.0074,0.004,CAE,feb_month,results_jan,0.010089444927871227,6.0,day,174.13162324637347,76.48432350020015,11,5,Saturday,4,Late Morning
20210124,clip_0_0000,5,2021-01-24 00:00:00,1.8,93,0.0,0.8,136,2.6,0,0.0,0.0018,0.0009,CAE,feb_month,results_jan,0.004771220497786999,0.0,night,10.600527942730537,141.8080786609156,0,6,Sunday,1,Early Post-Midnight
20210124,clip_47_2209,115,2021-01-24 22:09:00,-0.9,100,0.0,-0.9,238,0.7,0,0.0,0.001,0.0005,CAE,feb_month,results_jan,0.0008180218283087015,0.0,night,329.15233711610927,138.89221465193398,22,6,Sunday,8,Late Evening
20210124,clip_16_0717,115,2021-01-24 07:17:00,0.1,98,0.0,-0.2,291,0.8,0,0.0,0.0022,0.001,CAE,feb_month,results_jan,0.004548036493360996,0.0,night,121.88891392039557,92.78344597726235,7,6,Sunday,3,Early Morning
20210124,clip_25_1113,115,2021-01-24 11:13:00,1.0,98,0.0,0.8,216,1.2,124,0.0,0.0066,0.0031,CAE,feb_month,results_jan,0.01451684720814228,9.0,day,175.27209430154699,76.18488839841567,11,6,Sunday,4,Late Morning
20210125,clip_0_0000,5,2021-01-25 00:00:00,-0.4,100,0.0,-0.4,201,1.2,0,0.0,0.0017,0.0009,CAE,feb_month,results_jan,0.004649841692298651,2.0,night,10.469926440901816,141.57153472495634,0,0,Monday,1,Early Post-Midnight
20210125,clip_49_2341,115,2021-01-25 23:41:00,-3.7,99,0.0,-3.8,226,1.2,0,0.0,0.0038,0.0022,CAE,feb_month,results_jan,0.0008558928966522217,0.0,night,3.1357096635301787,141.6354308568509,23,0,Monday,8,Late Evening
20210125,clip_24_1246,115,2021-01-25 12:46:00,3.0,75,0.0,-1.0,29,1.9,309,10.0,0.0066,0.0031,CAE,feb_month,results_jan,0.013743256218731403,11.0,day,197.75675321739675,77.34553697753462,12,0,Monday,5,Early Afternoon
20210125,clip_34_1705,5,2021-01-25 17:05:00,-0.6,96,0.0,-1.1,0,0.0,0,0.0,0.0082,0.004,CAE,feb_month,results_jan,0.01877421885728836,9.0,night,253.9151664485011,102.01020593889508,17,0,Monday,6,Late Afternoon
20210126,clip_0_0000,5,2021-01-26 00:00:00,-3.5,99,0.0,-3.6,230,0.7,0,0.0,0.0034,0.002,CAE,feb_month,results_jan,0.0005689522949978709,0.0,night,10.344545771118646,141.32882228316876,0,1,Tuesday,1,Early Post-Midnight
