Folder name,Clip Name,Image Number,DateTime,Temperature,Humidity,Precipitation,Dew Point,Wind Direction,Wind Speed,Sun Radiation Intensity,Min of sunshine latest 10 min,model,split,month,Activity,Num Annotations,Day_Night,SunPos_azimuth,SunPos_zenith,Hour,Weekday,Weekday_name,Timeslot,Timeslot_name,precision,recall,accuracy,f1_score
20200818,clip_31_2359,59,18/08/2020 23:59,16,99,0,15.8,204,0.7,0,0,YOLOv5,feb_month,jan_apr_aug,0.007101035,11,night,9.095747274,109.8864426,23,1,Tuesday,8,Late Evening,0.615384615,0.727272727,0.5,0.666666667
20200819,clip_0_0000,5,19/08/2020 00:00,16.2,99,0,16.1,169,0.6,0,0,YOLOv5,feb_month,jan_apr_aug,0.005881112,10,night,9.354111195,109.8648663,0,2,Wednesday,1,Early Post-Midnight,0.636363636,0.7,0.5,0.666666667
20200819,clip_20_0917,35,19/08/2020 09:17,19.4,83,0,16.5,226,1.7,646,10,YOLOv5,feb_month,jan_apr_aug,0.000816887,5,day,138.427882,50.62464537,9,2,Wednesday,4,Late Morning,1,1,1,1
20200819,clip_34_1531,115,19/08/2020 15:31,23.6,52,0,13.1,224,2.6,454,10,YOLOv5,feb_month,jan_apr_aug,0.006134933,2,day,252.6027862,64.35855846,15,2,Wednesday,6,Late Afternoon,1,0.5,0.5,0.666666667
20200819,clip_41_1847,115,19/08/2020 18:47,18.1,86,0,15.7,0,0,7,0,YOLOv5,feb_month,jan_apr_aug,0.007136494,5,day,294.0948341,89.91641262,18,2,Wednesday,7,Early Evening,0.5,0.4,0.285714286,0.444444444
20200820,clip_0_0000,5,20/08/2020 00:00,13.9,99,0,13.7,69,0.8,0,0,YOLOv5,feb_month,jan_apr_aug,0.001529841,2,night,9.446709629,110.187072,0,3,Thursday,1,Early Post-Midnight,0.333333333,0.5,0.25,0.4
20200820,clip_12_0535,115,20/08/2020 05:35,16,100,0,16,103,1.7,56,0,YOLOv5,feb_month,jan_apr_aug,0.003165318,2,night,85.59809581,78.10656477,5,3,Thursday,2,Late Post-Midnight,1,1,1,1
20200820,clip_33_1450,26,20/08/2020 14:50,18.1,94,0,17,139,3.5,86,0,YOLOv5,feb_month,jan_apr_aug,0.006553713,4,day,242.7354264,59.5167355,14,3,Thursday,5,Early Afternoon,0.571428571,1,0.571428571,0.727272727
20200820,clip_49_2201,115,20/08/2020 22:01,18.9,96,0,18.2,186,1.8,0,0,YOLOv5,feb_month,jan_apr_aug,0.006202235,7,night,338.6622882,108.8218277,22,3,Thursday,8,Late Evening,0.833333333,0.714285714,0.625,0.769230769
20200821,clip_0_0000,5,21/08/2020 00:00,16.5,99,0,16.4,137,1.2,0,0,YOLOv5,feb_month,jan_apr_aug,0.008614706,3,night,9.542238049,110.5122689,0,4,Friday,1,Early Post-Midnight,1,0.666666667,0.666666667,0.8
