Folder name,Clip Name,Image Number,DateTime,Temperature,Humidity,Precipitation,Dew Point,Wind Direction,Wind Speed,Sun Radiation Intensity,Min of sunshine latest 10 min,SSIM,MSE_moving_bkgrnd
20200816,clip_22_0949,5,2020-08-16 09:49:00,26.5,47,0.0,14.2,137,1.4,665,10.0,0.0072,0.0042
20200816,clip_12_0509,115,2020-08-16 05:09:00,13.6,100,0.0,13.6,0,0.0,68,0.0,0.0016,0.0006
20200817,clip_0_0941,5,2020-08-17 09:41:00,27.3,44,0.0,13.8,124,3.9,676,10.0,0.0066,0.004
20200817,clip_31_2337,115,2020-08-17 23:37:00,15.0,86,0.0,12.7,110,0.7,0,0.0,0.0051,0.0028
20200817,clip_19_1812,115,2020-08-17 18:12:00,24.0,52,0.0,13.6,107,2.0,67,10.0,0.0092,0.0058
20200817,clip_12_1504,36,2020-08-17 15:04:00,28.1,34,0.0,10.7,124,3.6,511,10.0,0.01,0.0058
20200817,clip_23_2004,115,2020-08-17 20:04:00,19.1,70,0.0,13.5,106,0.6,0,0.0,0.0058,0.0036
20200818,clip_0_0000,5,2020-08-18 00:00:00,14.6,88,0.0,12.7,105,1.0,0,0.0,0.0049,0.0026
20200818,clip_31_2359,59,2020-08-18 23:59:00,16.0,99,0.0,15.8,204,0.7,0,0.0,0.0038,0.002
20200818,clip_13_1547,5,2020-08-18 15:47:00,21.9,75,0.0,17.2,254,0.8,198,0.0,0.0064,0.0035
20200818,clip_20_1903,5,2020-08-18 19:03:00,18.3,94,0.0,17.2,295,0.9,5,0.0,0.005,0.0027
20200818,clip_10_0440,115,2020-08-18 04:40:00,12.3,98,0.0,12.0,103,0.3,21,0.0,0.0046,0.0027
20200819,clip_0_0000,5,2020-08-19 00:00:00,16.2,99,0.0,16.1,169,0.6,0,0.0,0.0041,0.0021
20200819,clip_52_2334,115,2020-08-19 23:34:00,13.8,99,0.0,13.6,106,0.5,0,0.0,0.0047,0.0026
20200819,clip_34_1531,115,2020-08-19 15:31:00,23.6,52,0.0,13.1,224,2.6,454,10.0,0.0086,0.0049
20200819,clip_20_0917,35,2020-08-19 09:17:00,19.4,83,0.0,16.5,226,1.7,646,10.0,0.0038,0.002
20200819,clip_41_1847,115,2020-08-19 18:47:00,18.1,86,0.0,15.7,0,0.0,7,0.0,0.006,0.0036
20200820,clip_0_0000,5,2020-08-20 00:00:00,13.9,99,0.0,13.7,69,0.8,0,0.0,0.0046,0.0024
20200820,clip_49_2201,115,2020-08-20 22:01:00,18.9,96,0.0,18.2,186,1.8,0,0.0,0.0025,0.0013
20200820,clip_17_0755,5,2020-08-20 07:55:00,19.2,86,0.0,16.9,121,2.7,107,0.0,0.0031,0.0015
20200820,clip_12_0535,115,2020-08-20 05:35:00,16.0,100,0.0,16.0,103,1.7,56,0.0,0.0039,0.0021
20200820,clip_33_1450,26,2020-08-20 14:50:00,18.1,94,0.0,17.0,139,3.5,86,0.0,0.0031,0.0015
20200821,clip_0_0000,5,2020-08-21 00:00:00,16.5,99,0.0,16.4,137,1.2,0,0.0,0.0041,0.0021
